,cent,group
A0488385844WNV2OWO9X,0.0008450187374506566,gray_sheep
A0916357J9P21ZUYUZO6,4.333999469127032e-05,typical_customer
A0976794S8VOYNT78YEM,0.0,typical_customer
A1004703RC79J9,0.0007216140222843786,typical_customer
A100WO06OQR8BQ,0.0008146158885677067,gray_sheep
A100ZQDV7L8PVV,5.1804938439876115e-05,typical_customer
A102300ZYSDHRR,0.00014374616543428193,typical_customer
A102866V814SOJ,2.4795556300198834e-05,typical_customer
A102V8N45CTOIC,0.0,typical_customer
A1047EDJ84IMAS,1.9948796373791865e-05,cold_start
A107RJ8R12ERDP,4.6580230330996976e-05,typical_customer
A108XP24UESKSV,3.6218347829897925e-05,typical_customer
A109L3WXD1SJFU,3.448500789564837e-05,typical_customer
A10CGTF3GZ2V65,0.00038055879943794024,typical_customer
A10H63KUGJEPAJ,1.4196095871349126e-05,cold_start
A10K606KWGOA2Y,0.00010216093369175248,typical_customer
A10NK3J44E66BN,0.0007703289129838427,gray_sheep
A10QJ6CMP3UHC6,0.0003349830553398792,typical_customer
A10S3PNZ5Y0FRT,0.0,typical_customer
A10VTKMX0HUEJK,0.0,typical_customer
A10Y058K7B96C6,2.197689855190821e-05,typical_customer
A10ZBR6O8S8OCY,0.00019858812826979122,typical_customer
A110KACX3W12L9,0.0004208900095156001,typical_customer
A110RS7QL8Q1UX,4.669682055409382e-05,typical_customer
A111VACTMOWL5H,0.00012678742044669778,typical_customer
A113DS2A66B9VJ,0.0,typical_customer
A1143YEAZYMYHJ,5.000837437906044e-05,typical_customer
A11440ZB6FEAKF,1.3255631243918508e-05,typical_customer
A117FS98WND9A3,0.00021031373919020623,typical_customer
A117NOT6QPCRMV,0.0,typical_customer
A117XUS2KI1M04,0.00017224520350629828,typical_customer
A1190GQQ1BTICP,8.936843377873003e-05,typical_customer
A11A05XL3VUOUQ,6.0043433759300546e-05,cold_start
A11AP4QERYPCLK,0.0003483454405899232,typical_customer
A11B61QBGHLQDN,6.0615879094921615e-05,typical_customer
A11CV6M1H8S1EC,0.0002274106077652915,typical_customer
A11EQENJJRH8X6,0.0,typical_customer
A11F3YONMF67ML,0.0012090622969316296,gray_sheep
A11F5KW6QXHL8L,9.095439472196767e-05,typical_customer
A11FX8HL2ANK6T,0.0003611463750647582,typical_customer
A11GP02YZJBGG3,0.00011323510947828798,typical_customer
A11IKWE7B29TOJ,0.00029766145730549253,typical_customer
A11J81ZI9KAERU,1.1090305514907102e-06,cold_start
A11JWVCT7N93NH,0.0001702098019676622,typical_customer
